_W -12.03762 0.9754811 0.9505149 0.310679
_W -12.03762 0.9754811 0.9909828 0.1339889
_W -12.03762 0.9754811 0.9961185 -0.08802242
R -12.1224 0.8704178 0.9429334 -0.3329815
R -12.24757 0.8198451 0.8290392 -0.5591905
R -12.38178 0.8052643 0.7443138 -0.66783
R -12.51574 0.8219495 0.6619688 -0.7495314
R -12.64764 0.8507078 0.6272863 -0.7787887
R -12.77924 0.8808456 0.6232001 -0.7820625
R -12.91223 0.9040551 0.6434586 -0.765481
R -13.04663 0.9167587 0.6730151 -0.7396287
R -13.1816 0.9195849 0.699666 -0.7144701
R -13.31629 0.9104019 0.7307608 -0.6826336
R -13.44947 0.8883519 0.7626707 -0.646787
R -13.58085 0.8572943 0.7842375 -0.6204607
R -13.71094 0.821216 0.7960044 -0.6052908
R -13.84078 0.7842304 0.7981126 -0.6025084
R -13.97068 0.7474715 0.7975866 -0.6032045
R -14.10038 0.7100328 0.7991632 -0.6011142
R -14.22955 0.6707867 0.8033404 -0.5955201
R -14.35801 0.6292922 0.8085068 -0.5884869
R -14.48479 0.5828968 0.8196552 -0.5728571
R -14.61005 0.5325422 0.8285521 -0.5599121
R -14.73495 0.4813144 0.8305014 -0.5570165
R -14.85985 0.4300866 0.8305014 -0.5570165
R -14.98476 0.3788588 0.8305014 -0.5570165
R -15.10966 0.327631 0.8305014 -0.5570165
R -15.23456 0.2764032 0.8305014 -0.5570165
R -15.35947 0.2251754 0.8305014 -0.5570165
R -15.48437 0.1739476 0.8305014 -0.5570165
R -15.60927 0.1227198 0.8305014 -0.5570165
R -15.73417 0.07149197 0.8305014 -0.5570165
R -15.85908 0.02026417 0.8305014 -0.5570165
R -15.98398 -0.03096363 0.8305014 -0.5570165
R -16.10888 -0.08219143 0.8305014 -0.5570165
R -16.23396 -0.132983 0.8295281 -0.558465
R -16.36066 -0.1795995 0.8201548 -0.5721417
R -16.491 -0.214769 0.7938876 -0.6080646
R -16.62518 -0.2295845 0.7448975 -0.6671789
R -16.75909 -0.2124321 0.6606608 -0.7506846
R -16.88183 -0.1562355 0.5402448 -0.8415079
R -16.98372 -0.06766868 0.4146981 -0.9099591
R -17.06497 0.04014627 0.3173096 -0.948322
R -17.14413 0.149501 0.308192 -0.9513242
R -17.22329 0.2588558 0.308192 -0.9513242
R -17.30245 0.3682106 0.308192 -0.9513242
_R -17.30245 0.3682106 0.308192 -0.9513242
_R -17.30245 0.3682106 0.308192 -0.9513242
_R -17.30245 0.3682106 0.308192 -0.9513242
_R -17.30245 0.3682106 0.309022 -0.9510549
R -17.36852 0.4859392 0.2529188 -0.9674875
R -17.38777 0.6195588 0.0715028 -0.9974404
R -17.34628 0.7480245 0.1555672 0.9878253
R -17.24005 0.8313254 0.4375818 0.8991786
R -17.10591 0.8466092 0.6658778 0.7460608
R -16.97288 0.8236324 0.764918 0.6441277
R -16.84668 0.7756943 0.8231334 0.567848
R -16.72661 0.7139873 0.853548 0.5210142
R -16.60934 0.6471016 0.8647107 0.5022702
R -16.49387 0.5771692 0.8712112 0.4909084
R -16.38001 0.504635 0.8767241 0.4809936
R -16.26835 0.428755 0.8837631 0.4679347
R -16.16026 0.3478881 0.8941517 0.4477641
R -16.05639 0.2616556 0.9051959 0.4249947
R -15.95653 0.1708 0.9146048 0.404349
R -15.85959 0.0768529 0.9208433 0.3899328
R -15.76396 -0.01843867 0.923543 0.3834948
R -15.66833 -0.1137302 0.923543 0.3834948
R -15.57171 -0.2080152 0.9215225 0.3883251
R -15.47045 -0.2972912 0.9114009 0.4115196
R -15.35697 -0.3704205 0.8779802 0.4786969
R -15.22894 -0.4132551 0.8115706 0.5842543
R -15.09431 -0.4231407 0.732539 0.680725
R -14.96144 -0.3992327 0.6414453 0.7671688
R -14.83754 -0.3456164 0.5490181 0.8358105
R -14.72656 -0.2687624 0.4640643 0.8858016
R -14.62863 -0.1758334 0.3947387 0.9187934
R -14.53795 -0.0758238 0.3599916 0.9329556
R -14.45063 0.02713739 0.3444739 0.9387959
R -14.36404 0.1307056 0.3411948 0.9399926
