 -4.02 0.9 0.003494645 -0.9999939
W -9.586575 -0.07288589 0.7402274 -0.6723566
W -9.646298 -0.07863828 0.7402274 -0.6723566
W -9.706022 -0.08439067 0.7402274 -0.6723566
W -9.765746 -0.09014306 0.7402274 -0.6723566
W -9.82547 -0.09589545 0.7402274 -0.6723566
W -9.885194 -0.1016478 0.7402274 -0.6723566
W -9.944918 -0.1074002 0.7402274 -0.6723566
W -10.00464 -0.1131526 0.7402274 -0.6723566
W -10.06437 -0.118905 0.7402274 -0.6723566
W -10.12409 -0.1246574 0.7402274 -0.6723566
W -10.18381 -0.1304098 0.7402274 -0.6723566
W -10.24354 -0.1361622 0.7402274 -0.6723566
W -10.30326 -0.1419146 0.7402274 -0.6723566
W -10.36298 -0.147667 0.7402274 -0.6723566
W -10.42271 -0.1534194 0.7402274 -0.6723566
W -10.48243 -0.1591718 0.7402274 -0.6723566
W -10.54216 -0.1649242 0.7402274 -0.6723566
W -10.60189 -0.1705724 0.7396404 -0.6730023
W -10.66162 -0.1762205 0.7396404 -0.6730023
W -10.72135 -0.1819729 0.7402274 -0.6723566
W -10.78107 -0.1877253 0.7402274 -0.6723566
W -10.84079 -0.1934777 0.7402274 -0.6723566
W -10.90052 -0.1992301 0.7402274 -0.6723566
W -10.96024 -0.2049825 0.7402274 -0.6723566
W -11.01997 -0.2107349 0.7402274 -0.6723566
W -11.07969 -0.2164873 0.7402274 -0.6723566
W -11.13943 -0.2220312 0.7390527 -0.6736476
W -11.19921 -0.2271579 0.7366969 -0.6762232
W -11.25905 -0.2315538 0.7325525 -0.6807107
W -11.31895 -0.2351139 0.7277822 -0.6858084
W -11.37887 -0.2381511 0.7247828 -0.6889774
W -11.43882 -0.2405606 0.7211654 -0.692763
W -11.49879 -0.2423422 0.7175284 -0.6965293
W -11.55878 -0.2437052 0.7150927 -0.6990297
W -11.61877 -0.2449634 0.7144824 -0.6996534
W -11.67875 -0.2461169 0.7138716 -0.7002766
W -11.73874 -0.2472704 0.7138716 -0.7002766
W -11.79873 -0.2484239 0.7138716 -0.7002766
W -11.85872 -0.2495775 0.7138716 -0.7002766
W -11.91871 -0.250731 0.7138716 -0.7002766
W -11.9787 -0.2518845 0.7138716 -0.7002766
W -12.03869 -0.253038 0.7138716 -0.7002766
W -12.09868 -0.2541916 0.7138716 -0.7002766
W -12.15867 -0.2553451 0.7138716 -0.7002766
