 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
W 12.80331 0.1391455 0.6971673 -0.7169086
W 12.74334 0.1408204 0.6971673 -0.7169086
W 12.68336 0.1424954 0.6971673 -0.7169086
W 12.62338 0.1441703 0.6971673 -0.7169086
W 12.56341 0.1458452 0.6971673 -0.7169086
W 12.50343 0.1475202 0.6971673 -0.7169086
W 12.44345 0.1491951 0.6971673 -0.7169086
W 12.38348 0.1508701 0.6971673 -0.7169086
W 12.3235 0.152545 0.6971673 -0.7169086
W 12.26352 0.1542199 0.6971673 -0.7169086
W 12.20355 0.1558949 0.6971673 -0.7169086
W 12.14357 0.1575698 0.6971673 -0.7169086
W 12.08359 0.1592447 0.6971673 -0.7169086
W 12.02362 0.1609197 0.6971673 -0.7169086
W 11.96364 0.1625946 0.6971673 -0.7169086
W 11.90366 0.1642695 0.6971673 -0.7169086
W 11.84369 0.1659445 0.6971673 -0.7169086
W 11.78371 0.1676194 0.6971673 -0.7169086
W 11.72373 0.1692943 0.6971673 -0.7169086
W 11.66375 0.1708646 0.6977925 -0.7162999
W 11.60377 0.1721207 0.699666 -0.7144701
W 11.54377 0.1730627 0.7015343 -0.7126357
W 11.48378 0.1738998 0.7021562 -0.7120229
W 11.42379 0.174737 0.7021562 -0.7120229
W 11.36379 0.1755742 0.7021562 -0.7120229
W 11.3038 0.1764114 0.7021562 -0.7120229
W 11.24381 0.1772486 0.7021562 -0.7120229
W 11.18381 0.1780858 0.7021562 -0.7120229
W 11.12382 0.178923 0.7021562 -0.7120229
W 11.06382 0.1797602 0.7021562 -0.7120229
W 11.00383 0.1805974 0.7021562 -0.7120229
W 10.94384 0.1814346 0.7021562 -0.7120229
W 10.88384 0.1822718 0.7021562 -0.7120229
W 10.82385 0.183109 0.7021562 -0.7120229
W 10.76386 0.1839461 0.7021562 -0.7120229
W 10.70386 0.1847833 0.7021562 -0.7120229
W 10.64387 0.1856205 0.7021562 -0.7120229
W 10.58387 0.1864577 0.7021562 -0.7120229
W 10.52388 0.1872949 0.7021562 -0.7120229
W 10.46389 0.1881321 0.7021562 -0.7120229
W 10.40389 0.1889693 0.7021562 -0.7120229
W 10.3439 0.1898065 0.7021562 -0.7120229
W 10.28391 0.1906437 0.7021562 -0.7120229
W 10.22391 0.1914809 0.7021562 -0.7120229
W 10.16392 0.1923181 0.7021562 -0.7120229
W 10.10392 0.1931553 0.7021562 -0.7120229
W 10.04393 0.1939925 0.7021562 -0.7120229
W 9.983937 0.1948296 0.7021562 -0.7120229
W 9.923944 0.1956668 0.7021562 -0.7120229
W 9.86395 0.196504 0.7021562 -0.7120229
W 9.803956 0.1973412 0.7021562 -0.7120229
W 9.743962 0.1981784 0.7021562 -0.7120229
W 9.683969 0.1990156 0.7021562 -0.7120229
W 9.623975 0.1998528 0.7021562 -0.7120229
W 9.563981 0.20069 0.7021562 -0.7120229
W 9.503987 0.2015272 0.7021562 -0.7120229
W 9.443994 0.2023644 0.7021562 -0.7120229
W 9.384 0.2032016 0.7021562 -0.7120229
W 9.324006 0.2040388 0.7021562 -0.7120229
W 9.264012 0.2048759 0.7021562 -0.7120229
W 9.204019 0.2057131 0.7021562 -0.7120229
W 9.144025 0.2065503 0.7021562 -0.7120229
W 9.084031 0.2073875 0.7021562 -0.7120229
W 9.024037 0.2082247 0.7021562 -0.7120229
W 8.964044 0.2090619 0.7021562 -0.7120229
W 8.90405 0.2098991 0.7021562 -0.7120229
W 8.844056 0.2107363 0.7021562 -0.7120229
W 8.784062 0.2115735 0.7021562 -0.7120229
W 8.724069 0.2124107 0.7021562 -0.7120229
W 8.664075 0.2132479 0.7021562 -0.7120229
W 8.604081 0.2140851 0.7021562 -0.7120229
W 8.544087 0.2149222 0.7021562 -0.7120229
W 8.484094 0.2157594 0.7021562 -0.7120229
W 8.4241 0.2165966 0.7021562 -0.7120229
W 8.364106 0.2174338 0.7021562 -0.7120229
W 8.304112 0.218271 0.7021562 -0.7120229
W 8.244119 0.2191082 0.7021562 -0.7120229
W 8.184125 0.2199454 0.7021562 -0.7120229
